,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
359,Joaquín Muñoz\Joaquin-Munoz,es ESP,MF,Atlético Madrid,19,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
360,Luis Muriel\Luis-Muriel,co COL,MFFW,Sevilla,27,1991,6,1,123,1,1,0,0,0,0,0.73,0.73,1.46,0.73,1.46,0.3,0.3,0.1,0.25,0.07,0.32,0.25,0.32,Matches
361,Jeison Murillo\Jeison-Murillo,co COL,DF,Barcelona,26,1992,2,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
362,Jeison Murillo\Jeison-Murillo,co COL,DF,Valencia,26,1992,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
363,Damián Musto\Damian-Musto,ar ARG,MF,Huesca,31,1987,24,20,1686,0,0,0,0,11,0,0,0,0,0,0,1.2,1.2,0.1,0.06,0.01,0.07,0.06,0.07,Matches
364,Nacho\Nacho,es ESP,DF,Valladolid,29,1989,35,35,3150,1,3,0,0,10,0,0.03,0.09,0.11,0.03,0.11,0.6,0.6,3.4,0.02,0.1,0.12,0.02,0.12,Matches
365,Nacho\Nacho,es ESP,DF,Real Madrid,28,1990,20,19,1698,0,1,0,0,8,1,0,0.05,0.05,0,0.05,0.3,0.3,0.2,0.01,0.01,0.03,0.01,0.03,Matches
366,Naldo\Naldo,br BRA,DF,Espanyol,29,1988,16,16,1362,1,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,0.6,0.6,0.1,0.04,0,0.04,0.04,0.04,Matches
367,Ximo Navarro\Ximo-Navarro,es ESP,DF,Alavés,28,1990,31,28,2533,2,2,0,0,7,0,0.07,0.07,0.14,0.07,0.14,0.5,0.5,1.2,0.02,0.04,0.06,0.02,0.06,Matches
368,Jesús Navas\Jesus-Navas,es ESP,DFMF,Sevilla,32,1985,32,31,2712,1,5,0,0,8,0,0.03,0.17,0.2,0.03,0.2,1.3,1.3,5.6,0.04,0.19,0.23,0.04,0.23,Matches
369,Keylor Navas\Keylor-Navas,cr CRC,GK,Real Madrid,31,1986,10,10,900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
370,Raúl Navas\Raul-Navas,es ESP,DF,Real Sociedad,30,1988,16,15,1310,0,0,0,0,4,0,0,0,0,0,0,0.3,0.3,0.1,0.02,0.01,0.03,0.02,0.03,Matches
371,Neto\Neto,br BRA,GK,Valencia,29,1989,34,34,3060,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
372,Saúl Ñíguez\Saul-Niguez,es ESP,MFDF,Atlético Madrid,23,1994,33,32,2925,4,1,0,1,10,0,0.12,0.03,0.15,0.12,0.15,5.2,4.2,1.5,0.16,0.05,0.21,0.13,0.18,Matches
373,Peru Nolaskoain\Peru-Nolaskoain,es ESP,DF,Athletic Club,19,1998,8,4,464,2,0,0,0,2,1,0.39,0,0.39,0.39,0.39,0.3,0.3,0.1,0.06,0.02,0.07,0.06,0.07,Matches
374,Nolito\Nolito,es ESP,FW,Sevilla,31,1986,4,1,76,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0.75,0,0.75,0.75,0.75,Matches
375,Unai Núñez\Unai-Nunez,es ESP,DF,Athletic Club,21,1997,12,11,1064,0,0,0,0,4,0,0,0,0,0,0,0.8,0.8,0.2,0.07,0.02,0.09,0.07,0.09,Matches
376,Allan Nyom\Allan-Nyom,cm CMR,DF,Leganés,30,1988,23,20,1708,1,1,0,0,7,1,0.05,0.05,0.11,0.05,0.11,0.2,0.2,2.1,0.01,0.11,0.13,0.01,0.13,Matches
377,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,25,1993,37,37,3330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
378,Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,Real Madrid,22,1995,14,14,1178,0,2,0,0,2,0,0,0.15,0.15,0,0.15,0.3,0.3,2.6,0.02,0.2,0.23,0.02,0.23,Matches
379,Dani Ojeda\Dani-Ojeda,es ESP,MFDF,Leganés,23,1994,5,2,193,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.3,0.18,0.13,0.31,0.18,0.31,Matches
380,Lucas Olaza\Lucas-Olaza,uy URU,DF,Celta Vigo,24,1994,10,10,897,0,2,0,0,2,0,0,0.2,0.2,0,0.2,0,0,0.5,0,0.05,0.05,0,0.05,Matches
381,Oier Olazábal\Oier-Olazabal,es ESP,GK,Levante,28,1989,21,21,1890,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0.01,0.01,0,0.01,Matches
382,Kiko Olivas\Kiko-Olivas,es ESP,DF,Valladolid,29,1988,35,35,3100,0,0,0,0,6,0,0,0,0,0,0,0.4,0.4,0.3,0.01,0.01,0.02,0.01,0.02,Matches
383,Paulo Oliveira\Paulo-Oliveira,pt POR,DF,Eibar,26,1992,28,24,2245,0,0,0,0,4,0,0,0,0,0,0,0.6,0.6,0.1,0.02,0.01,0.03,0.02,0.03,Matches
384,Mathías Olivera\Mathias-Olivera,uy URU,DFMF,Getafe,20,1997,14,12,1007,0,1,0,0,6,1,0,0.09,0.09,0,0.09,0.4,0.4,1.2,0.04,0.12,0.16,0.04,0.16,Matches
385,Kenneth Omeruo\Kenneth-Omeruo,ng NGA,DF,Leganés,24,1993,28,27,2433,0,0,0,0,7,0,0,0,0,0,0,0.2,0.2,0.1,0.01,0,0.01,0.01,0.01,Matches
386,Fabián Orellana\Fabian-Orellana,cl CHI,MFFW,Eibar,32,1986,33,31,2733,3,5,1,1,4,0,0.1,0.16,0.26,0.07,0.23,6.7,6,4.6,0.22,0.15,0.37,0.2,0.35,Matches
387,Mikel Oyarzabal\Mikel-Oyarzabal,es ESP,FWMF,Real Sociedad,21,1997,37,36,3153,13,2,3,3,2,0,0.37,0.06,0.43,0.29,0.34,10,7.7,5,0.29,0.14,0.43,0.22,0.36,Matches
388,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,26,1992,35,35,3150,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,Matches
389,Rubén Pardo\Ruben-Pardo,es ESP,MFFW,Real Sociedad,25,1992,24,16,1368,1,2,0,0,3,0,0.07,0.13,0.2,0.07,0.2,0.9,0.9,2.7,0.06,0.18,0.24,0.06,0.24,Matches
390,Daniel Parejo\Daniel-Parejo,es ESP,MF,Valencia,29,1989,36,35,3061,9,7,5,6,5,1,0.26,0.21,0.47,0.12,0.32,7.5,2.9,7.2,0.22,0.21,0.43,0.09,0.3,Matches
391,Thomas Partey\Thomas-Partey,gh GHA,MF,Atlético Madrid,25,1993,32,22,2070,3,4,0,0,9,1,0.13,0.17,0.3,0.13,0.3,1.5,1.5,1.2,0.07,0.05,0.12,0.07,0.12,Matches
392,Gabriel Paulista\Gabriel-Paulista,br BRA,DF,Valencia,27,1990,30,30,2623,0,1,0,0,6,0,0,0.03,0.03,0,0.03,0.9,0.9,0.4,0.03,0.01,0.04,0.03,0.04,Matches
393,Alfonso Pedraza\Alfonso-Pedraza,es ESP,DFFW,Villarreal,22,1996,34,22,2095,3,3,0,0,3,0,0.13,0.13,0.26,0.13,0.26,2.4,2.4,3.9,0.1,0.17,0.27,0.1,0.27,Matches
394,Pedrosa\Pedrosa,es ESP,DF,Espanyol,20,1998,12,8,763,1,0,0,0,1,0,0.12,0,0.12,0.12,0.12,0.5,0.5,0.6,0.06,0.07,0.13,0.06,0.13,Matches
395,Rubén Peña\Ruben-Pena,es ESP,DF,Eibar,27,1991,31,30,2674,1,2,0,0,4,0,0.03,0.07,0.1,0.03,0.1,0.7,0.7,4.1,0.02,0.14,0.16,0.02,0.16,Matches
396,Carles Pérez\Carles-Perez,es ESP,FW,Barcelona,20,1998,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.37,0,0.37,0.37,0.37,Matches
397,Hernán Pérez\Hernan-Perez,py PAR,FWMF,Espanyol,29,1989,19,10,795,1,2,0,0,1,0,0.11,0.23,0.34,0.11,0.34,2,2,2.3,0.23,0.26,0.49,0.23,0.49,Matches
398,Rubén Pérez\Ruben-Perez,es ESP,MF,Leganés,29,1989,31,27,2474,0,0,0,0,7,1,0,0,0,0,0,0.4,0.4,1.4,0.01,0.05,0.07,0.01,0.07,Matches
399,Pablo Piatti\Pablo-Piatti,ar ARG,FWMF,Espanyol,29,1989,20,6,743,1,0,0,0,0,0,0.12,0,0.12,0.12,0.12,1.4,1.4,1.4,0.16,0.16,0.33,0.16,0.33,Matches
400,Cristiano Piccini\Cristiano-Piccini,it ITA,DF,Valencia,25,1992,23,21,1868,1,0,0,0,3,0,0.05,0,0.05,0.05,0.05,0.4,0.4,0.9,0.02,0.04,0.06,0.02,0.06,Matches
401,Tomás Pina Isla\Tomas-Pina-Isla,es ESP,MF,Alavés,30,1987,28,27,2340,2,0,0,0,13,0,0.08,0,0.08,0.08,0.08,1.5,1.5,1.5,0.06,0.06,0.12,0.06,0.12,Matches
402,Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,31,1987,35,35,3150,4,2,0,0,6,0,0.11,0.06,0.17,0.11,0.17,3.7,3.7,1.5,0.11,0.04,0.15,0.11,0.15,Matches
403,Carles Planas\Carles-Planas,es ESP,DFMF,Girona,27,1991,7,4,419,0,1,0,0,3,0,0,0.21,0.21,0,0.21,0.1,0.1,0.4,0.03,0.08,0.11,0.03,0.11,Matches
404,Óscar Plano\Oscar-Plano,es ESP,MFFW,Valladolid,27,1991,33,30,2693,3,4,0,0,8,0,0.1,0.13,0.23,0.1,0.23,3.9,3.9,4.1,0.13,0.14,0.27,0.13,0.27,Matches
405,Stiven Plaza\Stiven-Plaza,ec ECU,FWMF,Valladolid,19,1999,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
406,Pere Pons\Pere-Pons,es ESP,MF,Girona,25,1993,34,32,2792,1,2,0,0,4,0,0.03,0.06,0.1,0.03,0.1,1.3,1.3,1.8,0.04,0.06,0.1,0.04,0.1,Matches
407,Pedro Porro\Pedro-Porro,es ESP,DFMF,Girona,18,1999,32,25,2211,0,4,0,0,4,0,0,0.16,0.16,0,0.16,0.9,0.9,2.3,0.04,0.09,0.13,0.04,0.13,Matches
408,Francisco Portillo\Francisco-Portillo,es ESP,MFFW,Getafe,28,1990,32,19,1994,1,4,0,0,3,1,0.05,0.18,0.23,0.05,0.23,0.7,0.7,2.3,0.03,0.1,0.14,0.03,0.14,Matches
409,Portu\Portu,es ESP,FWMF,Girona,26,1992,34,33,2821,9,2,1,1,3,0,0.29,0.06,0.35,0.26,0.32,8.4,7.6,3.2,0.27,0.1,0.37,0.24,0.35,Matches
410,Sergio Postigo\Sergio-Postigo,es ESP,DF,Levante,29,1988,21,17,1449,1,1,0,0,4,1,0.06,0.06,0.12,0.06,0.12,0.2,0.2,0.8,0.01,0.05,0.06,0.01,0.06,Matches
411,José Pozo\Jose-Pozo,es ESP,MFFW,Rayo Vallecano,22,1996,29,16,1617,3,0,0,0,4,0,0.17,0,0.17,0.17,0.17,2.5,2.5,1.4,0.14,0.08,0.21,0.14,0.21,Matches
412,Sanjin Prcić\Sanjin-Prcic,ba BIH,MF,Levante,24,1993,10,6,532,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.04,0.01,0.05,0.04,0.05,Matches
413,Quincy Promes\Quincy-Promes,nl NED,DFMF,Sevilla,26,1992,33,15,1583,2,3,0,1,2,0,0.11,0.17,0.28,0.11,0.28,3.2,2.3,3.4,0.18,0.2,0.38,0.13,0.33,Matches
414,Javi Puado\Javi-Puado,es ESP,FWMF,Espanyol,20,1998,15,2,359,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.7,0.15,0.18,0.32,0.15,0.32,Matches
415,Riqui Puig\Riqui-Puig,es ESP,MF,Barcelona,18,1999,2,2,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.32,0.32,0,0.32,Matches
416,Jorge Pulido\Jorge-Pulido,es ESP,DF,Huesca,27,1991,32,32,2785,3,3,0,0,9,2,0.1,0.1,0.19,0.1,0.19,1.9,1.9,0.9,0.06,0.03,0.09,0.06,0.09,Matches
417,Xavi Quintillà\Xavi-Quintilla,es ESP,DF,Villarreal,21,1996,7,7,627,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.02,0.05,0.07,0.02,0.07,Matches
418,Dani Raba\Dani-Raba,es ESP,MF,Villarreal,22,1995,8,2,191,0,1,0,0,0,0,0,0.47,0.47,0,0.47,0.1,0.1,0.7,0.06,0.34,0.4,0.06,0.4,Matches
419,Rafinha\Rafinha,br BRA,FWMF,Barcelona,25,1993,5,3,223,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.06,0.02,0.08,0.06,0.08,Matches
420,Ivan Rakitić\Ivan-Rakitic,hr CRO,MF,Barcelona,30,1988,34,29,2643,3,5,0,0,7,1,0.1,0.17,0.27,0.1,0.27,2.3,2.3,2.3,0.08,0.08,0.15,0.08,0.15,Matches
421,Jonás Ramalho\Jonas-Ramalho,es ESP,DF,Girona,25,1993,22,18,1619,1,0,0,0,4,0,0.06,0,0.06,0.06,0.06,0.5,0.5,0.1,0.03,0,0.03,0.03,0.03,Matches
422,Sandro Ramírez\Sandro-Ramirez,es ESP,FWMF,Real Sociedad,23,1995,24,10,1055,0,0,0,0,4,0,0,0,0,0,0,2.5,2.5,1.3,0.21,0.11,0.32,0.21,0.32,Matches
423,Iván Ramis\Ivan-Ramis,es ESP,DF,Eibar,33,1984,21,20,1677,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,0,0.04,0,0.04,0.04,0.04,Matches
424,Chris Ramos\Chris-Ramos,es ESP,FW,Valladolid,21,1997,1,1,63,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0,0.07,0.07,0.07,Matches
425,Sergio Ramos\Sergio-Ramos,es ESP,DF,Real Madrid,32,1986,28,28,2474,6,1,5,5,7,1,0.22,0.04,0.25,0.04,0.07,6.9,3.1,0.8,0.25,0.03,0.28,0.11,0.14,Matches
426,Recio\Recio,es ESP,MF,Leganés,27,1991,18,15,1285,0,0,0,0,9,0,0,0,0,0,0,0.4,0.4,0.1,0.03,0.01,0.04,0.03,0.04,Matches
427,Sergio Reguilón\Sergio-Reguilon,es ESP,DF,Real Madrid,21,1996,14,13,1119,0,2,0,0,3,0,0,0.16,0.16,0,0.16,0.3,0.3,1.5,0.02,0.12,0.14,0.02,0.14,Matches
428,Diego Reyes\Diego-Reyes,mx MEX,DF,Leganés,25,1992,6,4,320,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.01,0.03,0.04,0.01,0.04,Matches
429,Mikel Rico\Mikel-Rico,es ESP,MF,Athletic Club,33,1984,4,3,242,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.14,0,0.15,0.14,0.15,Matches
430,Asier Riesgo\Asier-Riesgo,es ESP,GK,Eibar,34,1983,14,14,1260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
431,Cristian Rivera\Cristian-Rivera,es ESP,MF,Huesca,21,1997,22,19,1692,2,0,0,0,2,0,0.11,0,0.11,0.11,0.11,1.1,1.1,0.7,0.06,0.04,0.09,0.06,0.09,Matches
432,Rober\Rober,es ESP,DF,Levante,23,1995,33,32,2854,1,0,0,0,6,0,0.03,0,0.03,0.03,0.03,0.9,0.9,0.4,0.03,0.01,0.04,0.03,0.04,Matches
433,Sergi Roberto\Sergi-Roberto,es ESP,DFMF,Barcelona,26,1992,29,23,2088,0,7,0,0,3,0,0,0.3,0.3,0,0.3,0.6,0.6,3.4,0.03,0.15,0.17,0.03,0.17,Matches
434,Patrick Roberts\Patrick-Roberts,eng ENG,FW,Girona,21,1997,19,6,601,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.5,0.12,0.07,0.19,0.12,0.19,Matches
435,Joel Robles\Joel-Robles,es ESP,GK,Betis,28,1990,5,5,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
436,Marc Roca\Marc-Roca,es ESP,MF,Espanyol,21,1996,35,35,3112,1,2,0,0,9,0,0.03,0.06,0.09,0.03,0.09,1.2,1.2,2.8,0.04,0.08,0.12,0.04,0.12,Matches
437,Rubén Rochina\Ruben-Rochina,es ESP,MF,Levante,27,1991,27,23,1800,4,5,0,0,13,2,0.2,0.25,0.45,0.2,0.45,2.3,2.3,4.5,0.12,0.23,0.34,0.12,0.34,Matches
438,Rodri\Rodri,es ESP,MF,Atlético Madrid,22,1996,34,32,2735,3,1,0,0,5,0,0.1,0.03,0.13,0.1,0.13,2.5,2.5,0.9,0.08,0.03,0.11,0.08,0.11,Matches
439,Rodrigo\Rodrigo,es ESP,FW,Valencia,27,1991,33,29,2528,8,6,0,1,5,1,0.28,0.21,0.5,0.28,0.5,13.3,12.6,3.8,0.48,0.13,0.61,0.45,0.58,Matches
440,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DF,Real Sociedad,24,1994,7,5,484,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.6,0.01,0.11,0.12,0.01,0.12,Matches
441,Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Leganés,20,1998,31,29,2504,4,3,0,0,6,0,0.14,0.11,0.25,0.14,0.25,3.7,3.7,3.6,0.13,0.13,0.26,0.13,0.26,Matches
442,Ángel Rodríguez\Angel-Rodriguez,es ESP,FW,Getafe,31,1987,37,20,1819,8,3,0,0,4,0,0.4,0.15,0.54,0.4,0.54,8,8,3.2,0.4,0.16,0.56,0.4,0.56,Matches
443,Marko Rog\Marko-Rog,hr CRO,MF,Sevilla,23,1995,10,4,357,0,0,0,0,5,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.04,0.01,0.04,Matches
444,Diego Rolán\Diego-Rolan,uy URU,FWMF,Alavés,25,1993,9,3,298,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.18,0.04,0.21,0.18,0.21,Matches
445,Diego Rolán\Diego-Rolan,uy URU,MFDF,Leganés,25,1993,6,2,215,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.03,0.12,0.15,0.03,0.15,Matches
446,Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Celta Vigo,31,1987,12,12,1070,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,Matches
447,Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Valencia,31,1987,7,7,601,0,0,0,0,5,1,0,0,0,0,0,0.3,0.3,0,0.04,0,0.04,0.04,0.04,Matches
448,Roberto Rosales\Roberto-Rosales,ve VEN,DF,Espanyol,29,1988,21,20,1749,3,1,0,0,2,0,0.15,0.05,0.21,0.15,0.21,0.7,0.7,1,0.04,0.05,0.09,0.04,0.09,Matches
449,Waldo Rubio\Waldo-Rubio,es ESP,MFFW,Valladolid,22,1995,8,5,492,1,0,0,0,1,0,0.18,0,0.18,0.18,0.18,0.4,0.4,0.3,0.08,0.05,0.13,0.08,0.13,Matches
450,Abel Ruiz\Abel-Ruiz,es ESP,FW,Barcelona,18,2000,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.68,0.42,1.1,0.68,1.1,Matches
451,Víctor Ruiz\Victor-Ruiz,es ESP,DF,Villarreal,29,1989,22,22,1975,0,0,0,0,10,0,0,0,0,0,0,0.4,0.4,0.3,0.02,0.01,0.03,0.02,0.03,Matches
452,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Real Sociedad,26,1992,27,27,2430,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,Matches
453,Samuel Sáiz\Samuel-Saiz,es ESP,FWMF,Getafe,27,1991,10,2,305,1,0,0,0,2,0,0.3,0,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.06,0.16,0.1,0.16,Matches
454,Mikel San José\Mikel-San-Jose,es ESP,MF,Athletic Club,29,1989,33,16,1733,0,0,0,0,7,0,0,0,0,0,0,0.9,0.9,1.4,0.05,0.07,0.12,0.05,0.12,Matches
455,Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Betis,22,1996,15,8,811,2,0,1,1,2,0,0.22,0,0.22,0.11,0.11,4.2,3.5,0.1,0.47,0.01,0.47,0.38,0.39,Matches
456,Javi Sánchez\Javi-Sanchez,es ESP,DF,Real Madrid,21,1997,1,0,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
457,Víctor Sánchez\Victor-Sanchez,es ESP,MF,Espanyol,30,1987,24,13,1265,0,2,0,0,9,0,0,0.14,0.14,0,0.14,0.5,0.5,0.7,0.03,0.05,0.08,0.03,0.08,Matches
458,Luca Sangalli\Luca-Sangalli,es ESP,MFFW,Real Sociedad,23,1995,18,12,999,1,3,0,0,0,0,0.09,0.27,0.36,0.09,0.36,1.1,1.1,1.3,0.1,0.11,0.22,0.1,0.22,Matches
459,Nicola Sansone\Nicola-Sansone,it ITA,FWMF,Villarreal,26,1991,3,0,37,1,1,0,0,1,0,2.43,2.43,4.86,2.43,4.86,0.1,0.1,0.1,0.24,0.25,0.5,0.24,0.5,Matches
460,Roberto Santamaría\Roberto-Santamaria,es ESP,GK,Huesca,33,1985,20,20,1800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
461,Michael Santos\Michael-Santos,uy URU,FWMF,Leganés,25,1993,16,5,557,1,3,0,0,4,0,0.16,0.48,0.65,0.16,0.65,1.6,1.6,0.9,0.25,0.15,0.4,0.25,0.4,Matches
462,Pablo Sarabia\Pablo-Sarabia,es ESP,MFFW,Sevilla,26,1992,33,30,2724,13,13,1,1,9,0,0.43,0.43,0.86,0.4,0.83,10.8,10,9.2,0.36,0.3,0.66,0.33,0.63,Matches
463,Lluís Sastre\Lluis-Sastre,es ESP,MF,Huesca,32,1986,4,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
464,Stefan Savić\Stefan-Savic,me MNE,DF,Atlético Madrid,27,1991,18,17,1398,0,2,0,0,5,1,0,0.13,0.13,0,0.13,0.8,0.8,0.1,0.05,0.01,0.06,0.05,0.06,Matches
465,Alfa Semedo\Alfa-Semedo,pt POR,MF,Espanyol,20,1997,3,0,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,Matches
466,Nélson Semedo\Nelson-Semedo,pt POR,DF,Barcelona,24,1993,26,20,1600,1,0,0,0,4,0,0.06,0,0.06,0.06,0.06,0.5,0.5,0.4,0.03,0.02,0.05,0.03,0.05,Matches
467,Rúben Semedo\Ruben-Semedo,pt POR,DF,Huesca,24,1994,11,9,850,0,0,0,0,4,0,0,0,0,0,0,0.5,0.5,0,0.06,0,0.06,0.06,0.06,Matches
468,Paik Seung-ho\Paik-Seung-ho,kr KOR,FWMF,Girona,21,1997,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
469,Gaku Shibasaki\Gaku-Shibasaki,jp JPN,MFFW,Getafe,26,1992,7,5,389,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.08,0.02,0.1,0.08,0.1,Matches
470,Sidnei\Sidnei,br BRA,DF,Betis,28,1989,24,20,1742,1,0,0,0,4,0,0.05,0,0.05,0.05,0.05,1.3,1.3,0.1,0.07,0,0.07,0.07,0.07,Matches
471,André Silva\Andre-Silva,pt POR,FW,Sevilla,22,1995,27,25,2159,9,0,0,0,4,0,0.38,0,0.38,0.38,0.38,9.6,9.6,4,0.4,0.17,0.57,0.4,0.57,Matches
472,Jonathan Silva\Jonathan-Silva,ar ARG,DF,Leganés,24,1994,30,30,2700,3,6,0,0,9,0,0.1,0.2,0.3,0.1,0.3,1.6,1.6,3.4,0.05,0.11,0.17,0.05,0.17,Matches
473,Moses Simon\Moses-Simon,ng NGA,DFMF,Levante,23,1995,19,8,785,0,1,0,0,1,0,0,0.11,0.11,0,0.11,1.1,1.1,0.5,0.13,0.06,0.19,0.13,0.19,Matches
474,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,21,1997,7,7,630,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
475,Dimitris Siovas\Dimitris-Siovas,gr GRE,DF,Leganés,29,1988,34,34,2962,1,0,0,0,5,0,0.03,0,0.03,0.03,0.03,1.6,1.6,1.3,0.05,0.04,0.09,0.05,0.09,Matches
476,Pione Sisto\Pione-Sisto,dk DEN,FWMF,Celta Vigo,23,1995,25,8,844,2,1,0,0,0,0,0.21,0.11,0.32,0.21,0.32,1.4,1.4,1.2,0.15,0.13,0.27,0.15,0.27,Matches
477,Antonio Sivera\Antonio-Sivera,es ESP,GK,Alavés,21,1996,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.04,0.04,0,0.04,Matches
478,Rubén Sobrino\Ruben-Sobrino,es ESP,FWMF,Alavés,26,1992,20,10,965,3,1,0,0,2,0,0.28,0.09,0.37,0.28,0.37,2.3,2.3,1.1,0.22,0.1,0.32,0.22,0.32,Matches
479,Rubén Sobrino\Ruben-Sobrino,es ESP,FWMF,Valencia,26,1992,4,2,193,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.11,0.03,0.14,0.11,0.14,Matches
480,Alex Sola\Alex-Sola,es ESP,DF,Real Sociedad,19,1999,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.12,0.1,0.22,0.12,0.22,Matches
481,Andrés Solano\Andres-Solano,co COL,DF,Atlético Madrid,20,1998,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
482,Carlos Soler\Carlos-Soler,es ESP,MF,Valencia,21,1997,31,27,2460,2,6,0,0,9,0,0.07,0.22,0.29,0.07,0.29,3.1,3.1,3.9,0.11,0.14,0.26,0.11,0.26,Matches
483,Kévin Soni\Kevin-Soni,cm CMR,FWDF,Girona,20,1998,5,1,82,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.17,0.37,0.2,0.37,Matches
484,David Soria\David-Soria,es ESP,GK,Getafe,25,1993,37,37,3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,Matches
485,Juan Soriano\Juan-Soriano,es ESP,GK,Sevilla,20,1997,4,4,359,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
486,Cristhian Stuani\Cristhian-Stuani,uy URU,FW,Girona,31,1986,32,30,2729,19,0,5,5,9,0,0.63,0,0.63,0.46,0.46,12.3,8.7,1,0.41,0.03,0.44,0.29,0.32,Matches
487,Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,30,1988,36,36,3240,0,3,0,0,13,0,0,0.08,0.08,0,0.08,0.5,0.5,4.3,0.02,0.12,0.13,0.02,0.13,Matches
