,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
65,Daniele Bonera\Daniele-Bonera,it ITA,DF,Villarreal,37,1981,5,4,230,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MFFW,Betis,28,1990,9,6,539,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,1.4,0.1,0.24,0.34,0.1,0.34,Matches
67,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MF,Celta Vigo,28,1990,11,8,717,1,2,0,0,2,1,0.13,0.25,0.38,0.13,0.38,1,1,2.1,0.13,0.26,0.39,0.13,0.39,Matches
68,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Celta Vigo,24,1993,35,25,2085,3,3,0,0,6,0,0.13,0.13,0.26,0.13,0.26,2.8,2.8,3.8,0.12,0.16,0.28,0.12,0.28,Matches
69,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Girona,27,1991,32,32,2861,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
70,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Leganés,27,1991,19,16,1402,4,5,0,0,5,0,0.26,0.32,0.58,0.26,0.58,3.6,3.6,1.9,0.23,0.12,0.35,0.23,0.35,Matches
71,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Alavés,26,1992,24,17,1580,0,1,0,0,5,0,0,0.06,0.06,0,0.06,0.5,0.5,0.4,0.03,0.02,0.05,0.03,0.05,Matches
72,Rajko Brežančić\Rajko-Brezancic,rs SRB,DF,Huesca,28,1989,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Bryan\Bryan,es ESP,MFFW,Sevilla,17,2001,11,0,167,1,1,0,0,0,0,0.54,0.54,1.08,0.54,1.08,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.5,Matches
74,Burgui\Burgui,es ESP,MFFW,Alavés,24,1993,16,5,555,1,0,0,0,1,0,0.16,0,0.16,0.16,0.16,0.9,0.9,0.6,0.15,0.1,0.26,0.15,0.26,Matches
