Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
68,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,18,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,24,1994,32,31,2569,5,4,0,0,6,0,0.18,0.14,0.32,0.18,0.32,2.7,2.7,3.3,0.1,0.11,0.21,0.1,0.21,Matches
70,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,30,1988,33,33,2944,1,3,0,0,14,1,0.03,0.09,0.12,0.03,0.12,1,1,0.9,0.03,0.03,0.06,0.03,0.06,Matches
71,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,29,1989,12,3,461,0,0,0,0,2,0,0,0,0,0,0,1.9,1.9,0.2,0.36,0.03,0.39,0.36,0.39,Matches
72,Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,24,1994,33,32,2771,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,2,2,1.5,0.07,0.05,0.11,0.07,0.11,Matches
73,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,29,1989,36,35,3096,3,0,0,0,2,0,0.09,0,0.09,0.09,0.09,1.8,1.8,0.4,0.05,0.01,0.07,0.05,0.07,Matches
74,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Wolves,24,1993,23,6,693,3,1,0,0,1,0,0.39,0.13,0.52,0.39,0.52,2.2,2.2,1.5,0.28,0.2,0.48,0.28,0.48,Matches
75,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,7,7,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
76,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MFFW,Watford,23,1994,9,3,270,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.05,0,0.05,0.05,0.05,Matches
77,Calum Chambers\Calum-Chambers,eng ENG,MFDF,Fulham,23,1995,31,29,2588,2,0,0,0,9,0,0.07,0,0.07,0.07,0.07,2.2,2.2,0.7,0.08,0.02,0.1,0.08,0.1,Matches
78,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,21,1996,36,36,3240,0,4,0,0,4,0,0,0.11,0.11,0,0.11,0.8,0.8,3,0.02,0.08,0.11,0.02,0.11,Matches
79,Tahith Chong\Tahith-Chong,nl NED,FW,Manchester Utd,18,1999,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.18,0,0.18,0.18,0.18,Matches
80,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,20,1997,9,7,595,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.06,0.07,0.13,0.06,0.13,Matches
81,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,22,1996,8,6,617,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Cyrus Christie\Cyrus-Christie,ie IRL,DF,Fulham,25,1992,28,19,1948,0,1,0,0,7,0,0,0.05,0.05,0,0.05,0.5,0.5,1.4,0.02,0.07,0.09,0.02,0.09,Matches
83,Ibrahima Cissé\Ibrahima-Cisse,gn GUI,MFFW,Fulham,24,1994,3,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,28,1989,11,9,858,3,0,0,0,1,0,0.31,0,0.31,0.31,0.31,0.4,0.4,0.4,0.04,0.04,0.08,0.04,0.08,Matches
85,Tom Cleverley\Tom-Cleverley,eng ENG,MFFW,Watford,28,1989,13,4,478,1,0,0,0,2,0,0.19,0,0.19,0.19,0.19,0.2,0.2,0,0.04,0,0.04,0.04,0.04,Matches
86,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,27,1991,4,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
87,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Bournemouth,27,1991,14,13,1143,0,1,0,0,2,0,0,0.08,0.08,0,0.08,0.3,0.3,0.2,0.02,0.02,0.04,0.02,0.04,Matches
88,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,25,1993,38,38,3420,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
