Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
68,Joshua Brenet\Joshua-Brenet,nl NED,DFMF,Hoffenheim,24,1994,14,10,906,2,1,0,0,0,0,0.2,0.1,0.3,0.2,0.3,1.7,1.7,1.4,0.17,0.14,0.31,0.17,0.31,Matches
69,John Brooks\John-Brooks,us USA,DF,Wolfsburg,25,1993,29,29,2610,3,2,0,0,7,0,0.1,0.07,0.17,0.1,0.17,3.1,3.1,1,0.11,0.04,0.14,0.11,0.14,Matches
70,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,30,1988,26,26,2203,3,5,3,3,2,0,0.12,0.2,0.33,0,0.2,2.9,0.6,4.4,0.12,0.18,0.3,0.03,0.21,Matches
71,Bruma\Bruma,pt POR,MFFW,RB Leipzig,23,1994,14,6,553,1,1,0,1,1,0,0.16,0.16,0.33,0.16,0.33,1.3,0.6,1.2,0.22,0.2,0.42,0.09,0.3,Matches
72,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Schalke 04,26,1991,9,7,624,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,Matches
73,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FWMF,Dortmund,19,1998,24,16,1265,2,2,0,0,0,0,0.14,0.14,0.28,0.14,0.28,3.6,3.6,2.9,0.26,0.2,0.46,0.26,0.46,Matches
74,Niko Bungert\Niko-Bungert,de GER,DF,Mainz 05,31,1986,7,3,284,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.09,0.01,0.1,0.09,0.1,Matches
75,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,29,1989,24,17,1526,4,0,0,0,4,0,0.24,0,0.24,0.24,0.24,6.2,6.2,1.1,0.36,0.07,0.43,0.36,0.43,Matches
76,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWMF,Mainz 05,18,2000,4,4,259,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,0.5,0.5,0.19,0.68,0.5,0.68,Matches
77,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,27,1990,32,32,2880,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Gaëtan Bussmann\Gaetan-Bussmann,fr FRA,DF,Mainz 05,27,1991,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Jakub Błaszczykowski\Jakub-Blaszczykowski,pl POL,FW,Wolfsburg,32,1985,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Caiuby\Caiuby,br BRA,FWMF,Augsburg,30,1988,14,10,1006,1,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,2,2,1.3,0.18,0.12,0.3,0.18,0.3,Matches
81,Daniel Caligiuri\Daniel-Caligiuri,it ITA,DF,Schalke 04,30,1988,31,31,2756,7,3,4,6,9,0,0.23,0.1,0.33,0.1,0.2,6.3,1.7,4.5,0.2,0.15,0.35,0.06,0.2,Matches
82,Jan-Ingwer Callsen-Bracker\Jan-Ingwer-Callsen-Bracker,de GER,DF,Augsburg,33,1984,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,1.73,0,1.73,1.73,1.73,Matches
83,Ignacio Camacho\Ignacio-Camacho,es ESP,MF,Wolfsburg,28,1990,6,6,540,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0.5,0.08,0.09,0.17,0.08,0.17,Matches
84,Jonas Carls\Jonas-Carls,de GER,DF,Schalke 04,21,1997,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
85,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,26,1992,26,26,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Gonzalo Castro\Gonzalo-Castro,de GER,MF,Stuttgart,31,1987,25,19,1692,2,4,0,0,4,0,0.11,0.21,0.32,0.11,0.32,1.3,1.3,1.9,0.07,0.1,0.17,0.07,0.17,Matches
87,Timothy Chandler\Timothy-Chandler,us USA,FW,Eint Frankfurt,28,1990,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
